City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Laguna,US,2020-12-01 03:21:26,38.42,-121.42,52.0,66,1,2.13
104,Chala,TZ,2020-12-01 03:21:26,-7.58,31.27,59.0,100,75,0.36
105,Riyadh,SA,2020-12-01 03:19:35,24.69,46.72,59.0,93,75,2.24
106,Paracatu,BR,2020-12-01 03:20:41,-17.22,-46.87,67.98,84,0,1.57
107,Mogadouro,PT,2020-12-01 03:21:27,41.34,-6.71,39.0,92,0,4.27
108,Viransehir,TR,2020-12-01 03:21:27,37.24,39.76,49.05,81,100,10.29
109,Sao Filipe,CV,2020-12-01 03:21:27,14.9,-24.5,74.37,69,100,7.92
110,Tocopilla,CL,2020-12-01 03:21:27,-22.09,-70.2,63.5,61,49,5.21
111,Lebu,CL,2020-12-01 03:21:27,-37.62,-73.65,52.39,82,0,20.87
112,Tilichiki,RU,2020-12-01 03:21:27,60.47,166.1,-6.11,94,8,10.2
113,Buluang,PH,2020-12-01 03:21:27,13.31,123.34,79.3,83,100,11.59
114,Baykit,RU,2020-12-01 03:21:28,61.67,96.37,-2.67,88,77,3.51
115,Pisco,PE,2020-12-01 03:21:28,-13.7,-76.22,66.2,82,0,6.93
116,Pevek,RU,2020-12-01 03:21:28,69.7,170.31,-10.71,90,50,8.34
117,Saint-Hyacinthe,CA,2020-12-01 03:21:28,45.62,-72.95,57.2,80,100,4.7
118,Buncrana,IE,2020-12-01 03:21:28,55.13,-7.45,44.98,77,100,3.98
119,Republic,US,2020-12-01 03:21:28,37.12,-93.48,30.99,54,1,6.89
120,Shiraoi,JP,2020-12-01 03:21:28,42.55,141.35,36.0,50,75,4.7
121,Komsomolskiy,UZ,2020-12-01 03:21:28,40.43,71.72,30.2,86,100,4.7
122,Codrington,AU,2020-12-01 03:21:29,-38.27,141.97,58.91,78,100,22.62
123,Tomakivka,UA,2020-12-01 03:21:29,47.82,34.74,35.6,93,75,8.95
124,Yoichi,JP,2020-12-01 03:21:29,43.2,140.77,32.0,93,75,18.34
125,Kendrapara,IN,2020-12-01 03:21:29,20.5,86.42,69.8,73,76,1.12
126,Tasiilaq,GL,2020-12-01 03:21:29,65.61,-37.64,26.6,86,100,11.41
127,Kiunga,PG,2020-12-01 03:21:29,-6.12,141.29,75.33,97,100,3.15
128,Hualmay,PE,2020-12-01 03:21:29,-11.1,-77.61,65.05,86,70,4.59
129,Karratha,AU,2020-12-01 03:21:30,-20.74,116.85,100.96,13,0,21.32
130,Nikolskoye,RU,2020-12-01 03:21:30,59.7,30.79,32.0,97,90,6.71
131,Trinidad,BO,2020-12-01 03:21:30,-14.83,-64.9,78.26,78,98,1.45
132,Grindavik,IS,2020-12-01 03:21:30,63.84,-22.43,44.6,100,90,27.51
133,Bethel,US,2020-12-01 03:21:30,41.37,-73.41,60.8,87,90,6.93
134,Xuddur,SO,2020-12-01 03:21:31,4.12,43.89,69.19,87,0,11.16
135,Mehamn,NO,2020-12-01 03:21:31,71.04,27.85,32.95,91,96,20.4
136,Bassano,CA,2020-12-01 03:21:31,50.78,-112.47,39.2,64,72,12.75
137,Souillac,MU,2020-12-01 03:21:31,-20.52,57.52,78.8,78,75,16.11
138,Miquelon,PM,2020-12-01 03:21:31,47.1,-56.38,40.33,71,100,11.86
139,Vilhena,BR,2020-12-01 03:21:31,-12.74,-60.15,70.32,86,35,3.33
140,Pasighat,IN,2020-12-01 03:21:31,28.07,95.33,71.53,36,0,0.6
141,Numaligarh,IN,2020-12-01 03:21:32,26.63,93.75,67.69,66,0,3.8
142,Georgetown,MY,2020-12-01 03:21:32,5.41,100.34,82.4,78,40,2.24
143,Constitucion,CL,2020-12-01 03:21:32,-35.33,-72.42,57.36,65,0,12.5
144,Margate,GB,2020-12-01 03:21:32,51.38,1.39,44.01,76,21,8.01
145,Paita,PE,2020-12-01 03:21:32,-5.09,-81.11,66.45,85,100,11.56
146,Manicore,BR,2020-12-01 03:21:32,-5.81,-61.3,73.47,94,67,1.01
147,Lagoa,PT,2020-12-01 03:21:32,39.05,-27.98,61.23,75,24,25.1
148,Bouna,CI,2020-12-01 03:21:32,9.27,-3.0,74.46,56,15,2.44
149,Visnes,NO,2020-12-01 03:21:32,59.36,5.22,44.6,81,0,26.4
150,Vila Velha,BR,2020-12-01 03:18:18,-20.33,-40.29,75.2,83,0,10.29
151,Borzna,UA,2020-12-01 03:21:33,51.25,32.43,29.84,99,100,9.08
