City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Longyearbyen,SJ,78.22,15.64,5.0,65,40,8.05,scattered clouds
133,Shimoni,KE,-4.65,39.38,78.98,84,100,4.54,light rain
134,La Plata,AR,-34.92,-57.95,71.01,94,0,8.41,clear sky
135,Mar Del Plata,AR,-38.0,-57.56,64.0,88,0,9.17,clear sky
136,Carnarvon,AU,-24.87,113.63,77.0,53,0,18.34,clear sky
137,Taoudenni,ML,22.68,-3.98,72.81,21,97,11.83,overcast clouds
138,Pio Ix,BR,-6.84,-40.58,79.07,45,94,4.03,overcast clouds
139,Imbituba,BR,-28.24,-48.67,69.8,94,75,1.12,broken clouds
140,Ballina,AU,-28.87,153.57,95.0,66,1,17.22,clear sky
141,Sao Joao Da Barra,BR,-21.64,-41.05,74.95,92,100,7.02,overcast clouds
142,Bemidji,US,47.47,-94.88,30.0,79,1,3.36,clear sky
143,Hermanus,ZA,-34.42,19.23,57.0,67,79,5.99,broken clouds
144,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,73.47,98,100,4.83,overcast clouds
145,Severo-Yeniseyskiy,RU,60.37,93.04,-8.81,91,71,4.34,broken clouds
146,Hasaki,JP,35.73,140.83,50.0,87,75,9.17,light rain
147,Port Hardy,CA,50.7,-127.42,44.6,86,20,3.36,few clouds
148,Sandy Bay,AU,-42.91,147.35,64.99,40,40,25.28,scattered clouds
149,Severo-Kurilsk,RU,50.68,156.12,29.88,90,66,16.87,broken clouds
150,Fortuna,US,40.6,-124.16,44.01,90,32,2.44,scattered clouds
151,Bandarbeyla,SO,9.49,50.81,76.15,82,48,6.82,light rain
152,Lukovetskiy,RU,64.3,41.92,33.8,98,90,6.71,snow
153,Chiredzi,ZW,-21.05,31.67,75.52,71,34,4.0,scattered clouds
154,Goderich,CA,43.75,-81.72,33.8,80,100,25.28,overcast clouds
155,Adrar,MR,20.5,-10.07,76.14,19,92,9.17,overcast clouds
156,Upernavik,GL,72.79,-56.15,12.47,95,100,11.88,light snow
157,Nalut,LY,30.33,10.85,52.16,51,0,6.73,clear sky
158,Tiksi,RU,71.69,128.87,-2.61,88,100,24.7,overcast clouds
159,Half Moon Bay,US,37.46,-122.43,54.0,62,1,10.29,clear sky
160,Pendencias,BR,-5.26,-36.72,76.68,75,30,10.58,scattered clouds
161,Moshenskoye,RU,58.51,34.59,28.47,96,100,4.68,overcast clouds
162,Katsuura,JP,35.13,140.3,50.0,81,75,13.87,broken clouds
163,Hofn,IS,64.25,-15.21,39.15,72,0,17.34,clear sky
164,Okhotsk,RU,59.38,143.3,-7.89,85,1,17.25,clear sky
165,Balakhninskiy,RU,58.01,114.28,10.49,90,100,6.62,overcast clouds
166,College,US,64.86,-147.8,39.2,69,75,9.17,broken clouds
167,Jiangyou,CN,31.77,104.72,48.43,69,98,4.5,overcast clouds
168,Visby,SE,57.64,18.3,36.0,82,75,3.36,broken clouds
169,Krutinka,RU,56.01,71.51,1.17,93,0,5.01,clear sky
170,Vardo,NO,70.37,31.11,31.96,90,88,13.0,overcast clouds
171,Ahipara,NZ,-35.17,173.17,68.95,67,64,5.14,broken clouds
172,Praia Da Vitoria,PT,38.73,-27.07,60.8,87,75,32.95,light rain
173,Iqaluit,CA,63.75,-68.51,14.0,72,75,10.29,broken clouds
174,Kembe,CF,4.62,21.89,68.14,49,0,2.84,clear sky
175,Kavieng,PG,-2.57,150.8,85.41,67,98,8.84,overcast clouds
176,Buala,SB,-8.14,159.59,85.66,70,97,8.52,light rain
177,Gornopravdinsk,RU,60.05,69.9,9.75,94,33,7.92,scattered clouds
178,Tromso,NO,69.65,18.96,32.0,90,0,47.2,light snow
179,Pergamino,AR,-33.89,-60.57,71.01,76,9,1.99,clear sky
180,Cherskiy,RU,68.75,161.3,-16.96,87,1,6.02,clear sky
181,Margate,GB,51.38,1.39,44.01,79,53,5.01,broken clouds
182,Kostomuksha,RU,64.57,30.58,28.96,98,96,7.85,overcast clouds
183,Quatre Cocos,MU,-20.21,57.76,79.0,94,40,8.05,shower rain
184,Colac,AU,-38.33,143.58,59.0,63,6,1.99,clear sky
185,Maxixe,MZ,-23.86,35.35,73.11,89,75,4.61,light rain
186,Izumo,JP,35.37,132.77,57.2,54,20,3.36,few clouds
187,Norman Wells,CA,65.28,-126.83,5.0,92,20,4.29,few clouds
188,San Patricio,US,28.02,-97.52,61.0,87,20,8.05,few clouds
189,Nagold,DE,48.55,8.72,36.0,10,100,3.02,light snow
190,Victoria,HK,22.29,114.16,70.0,65,0,10.33,clear sky
191,Ratnagiri,IN,16.98,73.3,79.41,58,89,6.55,overcast clouds
192,Beringovskiy,RU,63.05,179.32,-0.99,93,100,10.09,overcast clouds
193,Galveston,US,29.37,-94.97,64.99,55,75,21.92,broken clouds
194,Amapa,BR,1.0,-52.0,71.62,96,0,2.21,clear sky
195,Yellowknife,CA,62.46,-114.35,24.8,85,20,11.41,few clouds
196,Quang Ngai,VN,15.12,108.8,76.03,80,83,11.25,light rain
