City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Sembe,CG,70.21,scattered clouds,1.65,14.58,
216,Rio Grande,BR,66.99,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
217,Atar,MR,77.18,overcast clouds,20.52,-13.05,Oumou Elghoura
219,Shimoda,JP,51.8,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
222,Bom Jardim,BR,71.6,few clouds,-7.8,-35.59,Pousada do Posto Jose Breno
223,Sur,OM,71.92,clear sky,22.57,59.53,Sur Plaza Hotel
228,Augusto Correa,BR,75.69,few clouds,-1.02,-46.63,Fazenda Bacuri
229,Brae,GB,50.0,light rain,60.4,-1.35,Busta House Hotel
233,Newcastle,AU,72.0,overcast clouds,-32.93,151.78,NOAH'S on the beach
234,Teguise,ES,62.6,light rain,29.06,-13.56,B&B La Casona de Nazaret
238,Cidreira,BR,70.03,broken clouds,-30.18,-50.21,Hotel Castelo
239,Sidney,AU,72.0,broken clouds,-33.87,151.21,QT Sydney
240,Faya,SA,51.8,clear sky,18.39,42.45,مقبرة ال مجمل
241,Takoradi,GH,78.1,clear sky,4.88,-1.76,Raybow International Hotel
243,Mount Darwin,ZW,71.4,overcast clouds,-16.77,31.58,
245,Vinh,VN,64.83,overcast clouds,18.67,105.67,Hotels Shanghai
249,Sonepur,IN,70.2,clear sky,20.83,83.92,Circuit House
251,Busia,UG,62.08,clear sky,0.45,34.08,Chefwest Hotel
253,Bam,IR,57.2,clear sky,29.11,58.36,Bam Tourist Hotel
262,San Felipe,VE,72.79,overcast clouds,10.34,-68.74,Posada Llovizna Rodríguez
264,Ahvaz,IR,60.8,light rain,31.32,48.67,tashrifat tourism travel agency
265,Pacific Grove,US,53.6,clear sky,36.62,-121.92,Lovers Point Inn
268,Sao Filipe,CV,75.51,overcast clouds,14.9,-24.5,Tortuga B&B
270,Champerico,GT,68.0,clear sky,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
273,Coahuayana,MX,74.05,overcast clouds,18.73,-103.68,Hotel Los Arcos
274,Remanso,BR,78.08,scattered clouds,-9.62,-42.08,Hotel Mangueira
276,Dargaville,NZ,69.85,broken clouds,-35.93,173.88,Parkview Motel
279,San Quintin,MX,59.85,clear sky,30.48,-115.95,Old Mill Hotel
281,Kaeo,NZ,67.21,broken clouds,-35.1,173.78,Bushido Lodge
282,Puerto Leguizamo,CO,73.56,overcast clouds,-0.19,-74.78,la casona de juancho
284,Muisne,EC,74.71,overcast clouds,0.6,-80.03,Quinta Samay
289,Veraval,IN,78.04,clear sky,20.9,70.37,Lords Inn Somnath
292,Port Lincoln,AU,61.36,scattered clouds,-34.73,135.87,Port Lincoln Hotel
297,Tucuman,AR,75.2,broken clouds,-26.82,-65.22,Dallas Hotel Tucuman
298,Kaseda,JP,57.2,broken clouds,31.42,130.32,Sun Stay Kaseda
299,Codrington,AU,58.59,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
304,Linhares,BR,72.19,overcast clouds,-19.39,-40.07,Hotel Conceição
305,Petatlan,MX,74.46,overcast clouds,17.52,-101.27,Hotel California Petatlán
306,Bangolo,CI,70.32,few clouds,7.01,-7.47,HÔTEL MATCHÊDÉ
